Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,DIFFNKG.NS,DIFFNKG.NS,DIFFNKG.NS,DIFFNKG.NS,DIFFNKG.NS,,
DIFFNKG,2024-10-04,193.5,203.1699981689453,193.0500030517578,203.1699981689453,2801953,,NSE
DIFFNKG,2024-10-07,213.32000732421875,213.32000732421875,213.32000732421875,213.32000732421875,943611,,NSE
DIFFNKG,2024-10-08,223.97999572753906,223.97999572753906,223.97999572753906,223.97999572753906,237895,,NSE
DIFFNKG,2024-10-09,235.1699981689453,235.1699981689453,235.1699981689453,235.1699981689453,189748,,NSE
DIFFNKG,2024-10-10,246.9199981689453,246.9199981689453,246.9199981689453,246.9199981689453,106928,,NSE
DIFFNKG,2024-10-11,259.260009765625,259.260009765625,234.57000732421875,259.2099914550781,2434627,,NSE
DIFFNKG,2024-10-14,246.24000549316406,262.3999938964844,246.24000549316406,258.30999755859375,943182,,NSE
DIFFNKG,2024-10-15,253.0,271.2200012207031,250.0,271.2200012207031,471947,,NSE
DIFFNKG,2024-10-16,284.7799987792969,284.7799987792969,272.0,284.7799987792969,361056,,NSE
DIFFNKG,2024-10-17,299.010009765625,299.010009765625,290.1000061035156,299.010009765625,531677,,NSE
DIFFNKG,2024-10-18,302.0,351.45001220703125,271.20001220703125,340.25,3689574,,NSE
DIFFNKG,2024-10-21,337.0199890136719,408.29998779296875,335.1199951171875,408.29998779296875,3362282,,NSE
DIFFNKG,2024-10-22,420.0,489.9599914550781,416.5299987792969,489.69000244140625,4850552,,NSE
DIFFNKG,2024-10-23,479.0,479.0,440.7200012207031,440.7200012207031,1528963,,NSE
DIFFNKG,2024-10-24,396.6400146484375,396.6400146484375,396.6400146484375,396.6400146484375,28131,,NSE
DIFFNKG,2024-10-25,356.9700012207031,356.9700012207031,356.9700012207031,356.9700012207031,18568,,NSE
DIFFNKG,2024-10-28,339.1199951171875,364.7200012207031,339.1199951171875,339.1199951171875,2149731,,NSE
DIFFNKG,2024-10-29,339.1000061035156,343.0,322.1600036621094,322.1600036621094,763637,,NSE
DIFFNKG,2024-10-30,315.0,338.260009765625,310.1000061035156,338.260009765625,611393,,NSE
DIFFNKG,2024-10-31,355.1700134277344,355.1700134277344,355.1700134277344,355.1700134277344,199988,,NSE
DIFFNKG,2024-11-01,363.0,372.95001220703125,351.8999938964844,368.20001220703125,848038,,NSE
DIFFNKG,2024-11-04,349.79998779296875,355.0,349.79998779296875,349.79998779296875,211040,,NSE
DIFFNKG,2024-11-05,332.3500061035156,342.45001220703125,332.3500061035156,332.79998779296875,768384,,NSE
DIFFNKG,2024-11-06,339.0,349.3999938964844,332.1000061035156,338.29998779296875,884023,,NSE
DIFFNKG,2024-11-07,341.0,346.0,329.0,330.3999938964844,343360,,NSE
DIFFNKG,2024-11-08,333.29998779296875,346.8999938964844,324.1000061035156,328.70001220703125,566576,,NSE
DIFFNKG,2024-11-11,332.8999938964844,343.3500061035156,325.0,332.1499938964844,278867,,NSE
DIFFNKG,2024-11-12,335.79998779296875,336.0,317.0,320.1000061035156,155613,,NSE
DIFFNKG,2024-11-13,329.0,329.0,304.1000061035156,304.1000061035156,353565,,NSE
DIFFNKG,2024-11-14,305.95001220703125,307.0,288.8999938964844,296.1499938964844,337137,,NSE
DIFFNKG,2024-11-18,295.5,310.95001220703125,281.3500061035156,310.95001220703125,288810,,NSE
DIFFNKG,2024-11-19,320.04998779296875,326.45001220703125,317.0,326.45001220703125,115690,,NSE
DIFFNKG,2024-11-21,331.79998779296875,331.79998779296875,310.1499938964844,310.1499938964844,304711,,NSE
DIFFNKG,2024-11-22,306.0,316.0,295.0,303.3999938964844,289985,,NSE
DIFFNKG,2024-11-25,308.5,313.45001220703125,301.04998779296875,301.95001220703125,115850,,NSE
DIFFNKG,2024-11-26,312.5,313.5,301.3500061035156,305.6000061035156,95781,,NSE
DIFFNKG,2024-11-27,308.0,320.79998779296875,301.3500061035156,309.45001220703125,236539,,NSE
DIFFNKG,2024-11-28,310.5,315.70001220703125,308.1499938964844,312.5,101344,,NSE
DIFFNKG,2024-11-29,312.5,312.5,302.25,307.6499938964844,90051,,NSE
DIFFNKG,2024-12-02,305.6499938964844,323.0,302.5,322.75,133199,,NSE
DIFFNKG,2024-12-03,331.75,336.70001220703125,325.8500061035156,333.8999938964844,191632,,NSE
DIFFNKG,2024-12-04,340.0,350.54998779296875,330.3999938964844,349.54998779296875,295449,,NSE
DIFFNKG,2024-12-05,350.0,363.70001220703125,340.6000061035156,351.1499938964844,265391,,NSE
DIFFNKG,2024-12-06,355.0,365.0,342.6000061035156,362.04998779296875,182610,,NSE
DIFFNKG,2024-12-09,367.0,367.6499938964844,351.0,353.0,141729,,NSE
DIFFNKG,2024-12-10,352.8999938964844,358.70001220703125,335.3500061035156,336.8999938964844,214101,,NSE
DIFFNKG,2024-12-11,339.5,348.6000061035156,334.0,340.20001220703125,114809,,NSE
DIFFNKG,2024-12-12,341.3999938964844,357.20001220703125,339.45001220703125,352.25,170519,,NSE
DIFFNKG,2024-12-13,352.79998779296875,356.45001220703125,336.0,347.70001220703125,191362,,NSE
DIFFNKG,2024-12-16,345.6000061035156,365.04998779296875,345.0,365.04998779296875,134504,,NSE
DIFFNKG,2024-12-17,383.29998779296875,383.29998779296875,365.04998779296875,383.29998779296875,299934,,NSE
DIFFNKG,2024-12-18,394.3999938964844,397.0,364.1499938964844,364.1499938964844,178461,,NSE
DIFFNKG,2024-12-19,345.95001220703125,356.8999938964844,345.95001220703125,346.20001220703125,214897,,NSE
DIFFNKG,2024-12-20,352.3999938964844,363.5,331.04998779296875,334.5,378418,,NSE
DIFFNKG,2024-12-23,336.3999938964844,341.45001220703125,322.70001220703125,324.3999938964844,78254,,NSE
DIFFNKG,2024-12-24,325.5,340.6000061035156,322.1000061035156,339.25,108612,,NSE
DIFFNKG,2024-12-26,340.0,346.0,329.75,331.70001220703125,103426,,NSE
DIFFNKG,2024-12-27,331.25,339.0,328.0,329.70001220703125,44563,,NSE
DIFFNKG,2024-12-30,332.0,334.5,320.0,323.3500061035156,45987,,NSE
DIFFNKG,2024-12-31,320.0,336.6000061035156,317.54998779296875,332.54998779296875,76335,,NSE
DIFFNKG,2025-01-01,332.5,336.3999938964844,327.75,331.3999938964844,62670,,NSE
DIFFNKG,2025-01-02,333.0,344.3999938964844,327.0,339.8999938964844,61024,,NSE
DIFFNKG,2025-01-03,342.20001220703125,356.8500061035156,340.25,356.45001220703125,191796,,NSE
DIFFNKG,2025-01-06,360.0,364.70001220703125,338.6499938964844,338.6499938964844,159569,,NSE
