Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,,
DSSL,2008-01-01,25.5,25.5,25.5,25.5,47810,,NSE
DSSL,2008-01-02,27.0,27.0,27.0,27.0,58321,,NSE
DSSL,2008-01-03,28.5,28.5,28.5,28.5,47431,,NSE
DSSL,2008-01-04,30.0,30.0,30.0,30.0,63182,,NSE
DSSL,2008-01-07,31.5,31.5,31.5,31.5,101741,,NSE
DSSL,2008-01-08,33.5,33.5,30.0,30.0,573260,,NSE
DSSL,2008-01-09,28.5,28.5,28.5,28.5,147354,,NSE
DSSL,2008-01-10,27.5,30.0,27.5,27.5,181815,,NSE
DSSL,2008-01-11,26.5,26.5,26.5,26.5,5577,,NSE
DSSL,2008-01-14,25.5,25.5,25.5,25.5,5757,,NSE
DSSL,2008-01-15,24.5,24.5,24.5,24.5,2541,,NSE
DSSL,2008-01-16,23.5,23.5,23.5,23.5,1980,,NSE
DSSL,2008-01-17,22.5,25.0,22.5,24.5,94500,,NSE
DSSL,2008-01-18,25.0,26.0,23.5,23.5,81436,,NSE
DSSL,2008-01-21,23.5,23.5,22.5,22.5,3681,,NSE
DSSL,2008-01-22,21.5,21.5,21.5,21.5,601,,NSE
DSSL,2008-01-23,20.5,20.5,20.5,20.5,2505,,NSE
DSSL,2008-01-24,19.5,19.5,19.5,19.5,640,,NSE
DSSL,2008-01-25,18.5,18.5,18.5,18.5,2285,,NSE
DSSL,2008-01-28,18.0,18.0,18.0,18.0,621,,NSE
DSSL,2008-01-29,17.5,17.5,17.5,17.5,614,,NSE
DSSL,2008-01-30,17.0,17.0,17.0,17.0,321,,NSE
DSSL,2008-01-31,16.5,16.5,16.5,16.5,1958,,NSE
DSSL,2008-02-01,16.0,16.0,16.0,16.0,782,,NSE
DSSL,2008-02-04,15.5,15.5,15.5,15.5,21025,,NSE
DSSL,2008-02-05,15.0,16.5,15.0,16.5,54385,,NSE
DSSL,2008-02-06,16.0,17.0,16.0,16.5,19855,,NSE
DSSL,2008-02-07,17.0,17.0,15.5,16.0,50924,,NSE
DSSL,2008-02-08,15.5,15.5,15.5,15.5,3005,,NSE
DSSL,2008-02-11,15.0,15.0,15.0,15.0,1297,,NSE
DSSL,2008-02-12,14.5,14.5,14.5,14.5,417,,NSE
