Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,RPOWER.NS,RPOWER.NS,RPOWER.NS,RPOWER.NS,RPOWER.NS,,
RPOWER,2008-02-11,331.25,331.25,222.0625,234.375,215028070,,NSE
RPOWER,2008-02-12,238.34375,246.875,211.5625,221.53125,66575923,,NSE
RPOWER,2008-02-13,228.125,230.40625,208.125,218.84375,39014579,,NSE
RPOWER,2008-02-14,222.46875,234.375,222.46875,231.21875,20221843,,NSE
RPOWER,2008-02-15,224.4375,243.09375,222.5,240.3125,28134886,,NSE
RPOWER,2008-02-18,248.25,268.75,248.25,258.71875,31989427,,NSE
RPOWER,2008-02-19,259.375,262.46875,255.3125,258.4375,16602060,,NSE
RPOWER,2008-02-20,256.1875,258.0,253.28125,255.34375,10811100,,NSE
RPOWER,2008-02-21,258.75,265.625,256.96875,263.65625,14975398,,NSE
RPOWER,2008-02-22,264.375,270.25,254.5,260.71875,30777955,,NSE
RPOWER,2008-02-25,271.875,284.96875,263.15625,281.6875,53687347,,NSE
RPOWER,2008-02-26,281.25,285.46875,276.96875,279.96875,18034808,,NSE
RPOWER,2008-02-27,283.75,283.75,277.96875,279.28125,7732385,,NSE
RPOWER,2008-02-28,279.0625,279.9375,272.90625,276.28125,9600147,,NSE
RPOWER,2008-02-29,271.9375,279.53125,265.65625,269.375,7743324,,NSE
RPOWER,2008-03-03,263.75,265.0,253.9375,257.59375,3960222,,NSE
RPOWER,2008-03-04,256.25,259.03125,242.8125,245.25,6514481,,NSE
RPOWER,2008-03-05,243.75,246.625,233.15625,235.03125,6937939,,NSE
RPOWER,2008-03-07,231.25,231.25,206.25,210.5,13527483,,NSE
RPOWER,2008-03-10,206.25,215.5625,193.8125,209.40625,11534976,,NSE
RPOWER,2008-03-11,208.125,228.03125,200.15625,224.125,12018529,,NSE
RPOWER,2008-03-12,230.625,236.1875,212.5625,215.65625,10037868,,NSE
RPOWER,2008-03-13,196.875,210.875,196.875,201.0,7894825,,NSE
RPOWER,2008-03-14,200.8125,214.8125,196.875,211.09375,7803332,,NSE
RPOWER,2008-03-17,206.25,208.6875,195.90625,197.21875,8591163,,NSE
RPOWER,2008-03-18,190.875,203.75,190.875,197.78125,7865406,,NSE
RPOWER,2008-03-19,210.625,210.625,195.6875,196.875,4335841,,NSE
RPOWER,2008-03-24,201.21875,201.21875,189.375,191.5625,4053534,,NSE
RPOWER,2008-03-25,195.15625,202.15625,193.28125,199.78125,6334472,,NSE
RPOWER,2008-03-26,200.6875,206.5625,197.65625,201.9375,6438452,,NSE
RPOWER,2008-03-27,200.0,206.25,198.28125,204.90625,5677841,,NSE
RPOWER,2008-03-28,207.6875,210.84375,205.625,208.78125,6299259,,NSE
RPOWER,2008-03-31,204.375,208.6875,197.5,198.75,8778016,,NSE
RPOWER,2008-04-01,201.875,205.625,194.6875,200.8125,4364342,,NSE
RPOWER,2008-04-02,206.25,208.75,203.5,204.53125,3365795,,NSE
RPOWER,2008-04-03,202.65625,208.0625,202.5,206.78125,3148779,,NSE
RPOWER,2008-04-04,206.90625,207.5,200.6875,201.65625,2059118,,NSE
RPOWER,2008-04-07,201.25,210.0,198.78125,208.65625,4225000,,NSE
RPOWER,2008-04-08,208.125,226.875,204.375,219.5625,12812051,,NSE
RPOWER,2008-04-09,219.3125,229.96875,216.25,226.5625,9947049,,NSE
RPOWER,2008-04-10,226.1875,229.875,221.34375,224.0625,6566656,,NSE
RPOWER,2008-04-11,226.90625,242.5,223.75,226.9375,4671720,,NSE
RPOWER,2008-04-15,225.0,243.0,219.375,240.25,7859860,,NSE
RPOWER,2008-04-16,245.625,252.5,233.125,234.53125,11179198,,NSE
RPOWER,2008-04-17,237.5,243.75,236.28125,240.46875,5496902,,NSE
RPOWER,2008-04-21,241.875,244.5,232.875,233.875,4850524,,NSE
RPOWER,2008-04-22,231.25,240.0,227.5625,236.34375,5687811,,NSE
RPOWER,2008-04-23,241.6875,243.375,236.9375,240.65625,4483979,,NSE
