Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,TOTAL.NS,TOTAL.NS,TOTAL.NS,TOTAL.NS,TOTAL.NS,,
TOTAL,2017-08-07,54.0,54.0,54.0,54.0,42000,,NSE
TOTAL,2017-08-08,64.80000305175781,64.80000305175781,50.20000076293945,52.70000076293945,2736000,,NSE
TOTAL,2017-08-09,51.349998474121094,55.900001525878906,51.0,51.849998474121094,330000,,NSE
TOTAL,2017-08-10,51.54999923706055,52.5,45.0,46.5,432000,,NSE
TOTAL,2017-08-11,45.150001525878906,48.79999923706055,45.150001525878906,47.349998474121094,144000,,NSE
TOTAL,2017-08-14,47.25,48.79999923706055,46.70000076293945,47.45000076293945,63000,,NSE
TOTAL,2017-08-16,48.95000076293945,49.54999923706055,48.29999923706055,49.25,117000,,NSE
TOTAL,2017-08-17,49.900001525878906,49.900001525878906,48.599998474121094,49.0,30000,,NSE
TOTAL,2017-08-18,47.599998474121094,47.650001525878906,46.849998474121094,46.900001525878906,24000,,NSE
TOTAL,2017-08-21,47.0,47.150001525878906,45.0,45.95000076293945,39000,,NSE
TOTAL,2017-08-22,46.0,46.0,44.150001525878906,44.54999923706055,51000,,NSE
TOTAL,2017-08-23,46.0,46.5,45.0,46.0,63000,,NSE
TOTAL,2017-08-24,45.54999923706055,45.54999923706055,45.25,45.25,12000,,NSE
TOTAL,2017-08-28,45.099998474121094,45.099998474121094,43.099998474121094,43.900001525878906,21000,,NSE
TOTAL,2017-08-29,43.599998474121094,45.20000076293945,43.599998474121094,43.650001525878906,12000,,NSE
TOTAL,2017-08-30,44.099998474121094,45.79999923706055,43.5,45.70000076293945,54000,,NSE
TOTAL,2017-08-31,45.5,46.099998474121094,45.0,46.099998474121094,21000,,NSE
TOTAL,2017-09-01,47.25,55.29999923706055,47.25,55.29999923706055,294000,,NSE
TOTAL,2017-09-04,60.0,63.29999923706055,54.0,54.70000076293945,366000,,NSE
TOTAL,2017-09-05,57.79999923706055,57.79999923706055,54.20000076293945,54.79999923706055,51000,,NSE
TOTAL,2017-09-06,52.5,54.0,52.5,54.0,24000,,NSE
TOTAL,2017-09-07,52.599998474121094,54.20000076293945,52.599998474121094,54.20000076293945,6000,,NSE
TOTAL,2017-09-08,52.599998474121094,52.599998474121094,50.0,50.0,30000,,NSE
TOTAL,2017-09-11,51.45000076293945,52.349998474121094,50.0,50.150001525878906,30000,,NSE
TOTAL,2017-09-12,49.849998474121094,50.95000076293945,49.849998474121094,50.0,24000,,NSE
TOTAL,2017-09-13,51.0,51.0,48.150001525878906,49.900001525878906,18000,,NSE
TOTAL,2017-09-14,50.5,50.5,48.5,48.5,12000,,NSE
TOTAL,2017-09-15,48.04999923706055,49.5,47.5,47.79999923706055,45000,,NSE
TOTAL,2017-09-18,48.0,48.5,48.0,48.29999923706055,24000,,NSE
TOTAL,2017-09-19,48.900001525878906,49.0,48.400001525878906,48.400001525878906,9000,,NSE
TOTAL,2017-09-20,50.400001525878906,50.400001525878906,48.0,48.0,21000,,NSE
TOTAL,2017-09-21,46.95000076293945,46.95000076293945,46.29999923706055,46.849998474121094,18000,,NSE
TOTAL,2017-09-22,47.0,47.0,45.25,45.54999923706055,42000,,NSE
